Name, Hubble Distance (Mly), RA, DEC, Velocity CMB (km/s), Redshift (Helio)
M101, 17.408891144301606, 14h03m12.5441s, +54d20m56.220s, 361.8886216259955, 0.000804
NGC5169, 124.76320545908406, 13h28m10.054s, +46d40m19.70s, 2593.5244283498055, 0.008062
NGC5173, 124.91696284957263, 13h28m25.273s, +46d35m29.93s, 2596.7206715595253, 0.008072
NGC5194, 30.456254074470834, 13h29m52.711s, +47d11m42.62s, 633.1116505665027, 0.001534
NGC5195, 30.206996882179666, 13h29m59.59s, +47d15m58.1s, 627.9301981120686, 0.001518
NGC5198, 129.60645551335756, 13h30m11.40s, +46d40m14.8s, 2694.2038496755445, 0.008402
NGC5229, 25.31842729688628, 13h34m02.83s, +47d54m55.6s, 526.3086936589451, 0.001197
NGC3556, 41.68466359723791, 11h11m30.97s, +55d40m26.8s, 866.5230500384587, 0.002322
NGC3594, 485.99325160580076, 11h16m13.990s, +55d42m15.64s, 10102.620924292905, 0.033131
NGC5422, 94.13921337608201, 14h00m42.039s, +55d09m52.11s, 1956.925911434465, 0.006131
NGC5455, 20.263669176038807, 14h03m01.193s, +54d14m26.82s, 421.23253264193136, 0.001
NGC5457, 17.408891144301606, 14h03m12.5441s, +54d20m56.220s, 361.8886216259955, 0.000804
NGC5471, 20.05677008571307, 14h04m29.017s, +54d23m48.89s, 416.93160238778586, 0.000991
NGC5473, 102.92999469754874, 14h04m43.227s, +54d53m33.47s, 2139.6649330683877, 0.006745
NGC5474, 18.502959527064775, 14h05m01.61s, +53d39m44.0s, 384.6316496408697, 0.000874
NGC5477, 20.86146716132456, 14h05m33.295s, +54d27m40.15s, 433.6593027970581, 0.00105
NGC5484, 103.18433703884122, 14h06m48.220s, +55d01m47.73s, 2144.9520934365305, 0.006769
NGC5485, 97.1644523223444, 14h07m11.347s, +55d00m06.10s, 2019.8132914104456, 0.006352
NGC5486, 71.33630988943972, 14h07m24.965s, +55d06m11.06s, 1482.9088563876978, 0.004563
LEDA 2285555, 2549.094969202294, 13h23m38.008s, +46d41m34.41s, 52989.50158007812, 0.176156
LEDA 2273470, 1751.6100734653533, 13h24m08.969s, +45d58m57.97s, 36411.724897255954, 0.120849
LEDA 2297345, 1334.9486811683744, 13h24m17.618s, +47d23m30.90s, 27750.34516357442, 0.091979
LEDA 2297200, 1313.836900048864, 13h24m17.731s, +47d23m03.24s, 27311.482440723164, 0.090515
LEDA 2283670, 1822.3313932187243, 13h24m17.945s, +46d34m59.83s, 37881.84960037331, 0.125762
LEDA 3096255, 1024.0686295124522, 13h24m28.360s, +47d31m38.44s, 21287.90292918745, 0.070425
LEDA 2295814, 1298.891722364915, 13h24m35.171s, +47d17m55.88s, 27000.80844620111, 0.089478
LEDA 2289953, 1315.3756702515957, 13h24m39.680s, +46d57m16.30s, 27343.469740950957, 0.090616
LEDA 2277963, 10.573657083450936, 13h24m48.205s, +46d14m58.11s, 219.80068436056104, 0.000131
LEDA 2277777, 1555.2852502269586, 13h24m49.360s, +46d14m18.40s, 32330.608007972303, 0.107241
LEDA 2276973, 846.4229845408325, 13h24m52.490s, +46d11m33.10s, 17595.08084972471, 0.058088
LEDA 2275680, 1092.5441176216734, 13h24m55.491s, +46d07m01.61s, 22711.342239687398, 0.075153
LEDA 2288684, 2044.9182840225087, 13h25m01.676s, +46d52m41.83s, 42508.8911756987, 0.141202
LEDA 2279042, 880.6672706446903, 13h25m13.322s, +46d18m51.81s, 18306.93649831079, 0.060465
LEDA 2300923, 1273.3535965036974, 13h25m17.458s, +47d35m35.45s, 26469.93275226856, 0.087713
LEDA 2297090, 1324.8563148902397, 13h25m18.494s, +47d22m39.98s, 27540.549347685577, 0.091281
