Custom Catalog
User defined catalog
Name;RA(deg);Dec(deg);PixelX;PixelY;Magnitude
SDSS J135625.67+531440.4;209.106962;53.244565;6614.464586;49.159937;
SDSS J135632.98+531153.9;209.137448;53.198329;6727.619832;113.427756;
SDSS J135643.99+533543.0;209.183316;53.595290;5688.634125;38.205305;
SDSS J135701.13+531708.0;209.254729;53.285579;6475.486825;263.091848;
SDSS J135708.29+532155.2;209.284551;53.365348;6262.131356;279.563888;
SDSS J135727.95+532500.7;209.366484;53.416866;6110.337337;386.875441;
SDSS J135738.73+535925.7;209.411408;53.990474;4614.522345;239.855597;
SDSS J135745.46+534407.9;209.439455;53.735532;5268.542278;378.985995;
SDSS J135747.49+540309.0;209.447906;54.052513;4445.748787;271.945838;
SDSS J135749.15+535915.6;209.454824;53.987691;4612.074548;307.015473;
SDSS J135751.05+542709.8;209.462723;54.452728;3406.091672;142.769661;
SDSS J135754.72+544825.2;209.478005;54.807003;2485.334780;31.287465;
SDSS J135759.18+545413.7;209.496603;54.903828;2230.536041;22.220161;
SDSS J135800.69+535012.0;209.502910;53.836693;4992.329791;437.690799;
SDSS J135802.62+540138.5;209.510952;54.027367;4496.800022;377.363174;
SDSS J135807.77+534838.5;209.532409;53.810707;5052.976662;492.681057;
SDSS J135814.68+543905.2;209.561197;54.651463;2869.772404;214.962174;
SDSS J135817.28+544841.9;209.572027;54.811657;2452.635032;169.818346;
SDSS J135823.07+544209.5;209.596132;54.702661;2729.486128;247.632407;
SDSS J135834.10+530841.4;209.642116;53.144856;6752.044551;917.217020;
SDSS J135834.48+551923.4;209.643705;55.323173;1112.513191;79.437242;
SDSS J135839.23+542735.2;209.663472;54.459792;3343.144137;442.208642;
SDSS J135839.90+553028.9;209.666263;55.508048;628.879731;41.183019;
SDSS J135843.70+550123.6;209.682102;55.023225;1880.580922;252.125734;
SDSS J135845.64+553958.1;209.690170;55.666142;214.278965;14.960439;
SDSS J135845.88+545634.4;209.691196;54.942914;2086.448929;296.738611;
SDSS J135851.73+540805.3;209.715561;54.134811;4172.480781;646.773265;
SDSS J135852.78+532131.5;209.719940;53.358772;6180.126750;954.925164;
SDSS J135856.23+551251.0;209.734295;55.214184;1374.701228;255.270815;
SDSS J135856.69+554202.5;209.736248;55.700710;114.695453;68.785801;
SDSS J135856.82+544529.2;209.736751;54.758117;2554.572632;436.374649;
SDSS J135903.56+543832.6;209.764838;54.642393;2847.737122;523.466736;
SDSS J135903.80+552313.3;209.765846;55.387050;920.236718;234.395343;
SDSS J135905.15+553217.9;209.771469;55.538311;527.421708;183.591936;
SDSS J135905.18+553514.1;209.771622;55.587257;400.672841;164.700255;
SDSS J135905.25+542605.5;209.771896;54.434879;3383.136345;615.047534;
SDSS J135905.74+554429.3;209.773934;55.741492;0.837166;107.827826;
SDSS J135906.66+542956.5;209.777759;54.499054;3215.740226;598.804876;
SDSS J135906.86+550047.6;209.778583;55.013223;1884.975889;399.182254;
SDSS J135907.82+550618.5;209.782599;55.105162;1646.134394;369.208146;
SDSS J135909.11+553432.8;209.787971;55.575793;426.745627;193.100705;
SDSS J135909.23+531804.6;209.788482;53.301297;6312.930819;1083.276352;
