RA	DEC	NAME	DIAMETER
210.802080	54.348917	M101 , 17 Mly	56.00
202.041915	46.671806	NGC5169 , 125 Mly	4.20
202.105950	46.591786	NGC5173 , 125 Mly	2.00
202.468545	47.195697	NGC5194 , 30 Mly	18.00
202.497165	47.266717	NGC5195 , 30 Mly	14.00
202.547160	46.670694	NGC5198 , 130 Mly	4.00
203.512035	47.914722	NGC5229 , 25 Mly	7.40
167.879130	55.674000	NGC3556 , 42 Mly	17.60
169.058670	55.704056	NGC3594 , 486 Mly	2.60
210.175080	55.164389	NGC5422 , 94 Mly	6.60
210.753750	54.241500	NGC5455 , 20 Mly	0.20
210.802080	54.348917	NGC5457 , 17 Mly	56.00
211.120830	54.396778	NGC5471 , 20 Mly	0.49
211.180590	54.892417	NGC5473 , 103 Mly	4.40
211.256670	53.662444	NGC5474 , 19 Mly	13.00
211.387500	54.460556	NGC5477 , 21 Mly	3.80
211.700685	55.029858	NGC5484 , 103 Mly	0.85
211.797420	55.001528	NGC5485 , 97 Mly	5.40
211.853910	55.102778	NGC5486 , 71 Mly	3.00
200.908333	46.692778	LEDA 2285555 , 2549 Mly	0.35
201.037083	45.982778	LEDA 2273470 , 1752 Mly	0.35
201.073333	47.391944	LEDA 2297345 , 1335 Mly	0.42
201.073750	47.384167	LEDA 2297200 , 1314 Mly	0.57
201.075000	46.583333	LEDA 2283670 , 1822 Mly	0.33
201.118333	47.527222	LEDA 3096255 , 1024 Mly	0.37
201.146667	47.298889	LEDA 2295814 , 1299 Mly	0.35
201.165000	46.954722	LEDA 2289953 , 1315 Mly	0.35
201.200833	46.249444	LEDA 2277963 , 11 Mly	1.01
201.205417	46.238611	LEDA 2277777 , 1555 Mly	0.47
201.218750	46.192500	LEDA 2276973 , 846 Mly	0.53
201.231250	46.117222	LEDA 2275680 , 1093 Mly	0.33
201.257083	46.878333	LEDA 2288684 , 2045 Mly	0.46
201.305417	46.314444	LEDA 2279042 , 881 Mly	1.25
201.322500	47.593333	LEDA 2300923 , 1273 Mly	0.59
201.327083	47.377778	LEDA 2297090 , 1325 Mly	0.41
201.332917	48.040278	LEDA 2790853 , 244 Mly	0.66
201.390000	46.215000	LEDA 2277374 , 2761 Mly	0.49
201.419583	46.857222	LEDA 2288312 , 1249 Mly	0.57
201.439583	46.161667	LEDA 46981 , 534 Mly	0.77
201.533750	48.300556	LEDA 2314530 , 2068 Mly	0.41
201.560833	47.300278	LEDA 2295834 , 1310 Mly	0.69
201.592500	46.463056	LEDA 2281644 , 1321 Mly	0.57
201.595417	47.458333	LEDA 2298575 , 1314 Mly	0.43
201.600833	46.852778	LEDA 2288242 , 1314 Mly	0.41
201.629167	46.317222	LEDA 2279089 , 882 Mly	0.43
201.657500	47.545556	LEDA 3096259 , 1350 Mly	0.26
201.659167	47.557778	LEDA 3096260 , 2849 Mly	0.30
201.671667	47.212222	LEDA 2294311 , 1295 Mly	0.49
201.681667	46.158056	LEDA 2276380 , 1322 Mly	0.55
201.702500	47.440278	LEDA 2298213 , 1306 Mly	0.52
201.714167	47.424444	LEDA 2297924 , 1322 Mly	0.41
